id,titulo,a_pergunta,caminhos,recomendacao,preco_do_outro_lado,por_que_espera,onde_mora,foto_antes,foto_depois,custo,aberta_em,estado,escolha,decidida_em,nasceu_de
D-MAPA-SEM-RECEITA,O motor mostra o dongle mudado de lugar sem mandar ninguém movê-lo,"Nas variantes ""Sem o extensor"" e ""Sem usar o hub"" o mapa desenha o aparelho na entrada nova e a receita não manda mover, porque o ganho é zero ou negativo.","se não há ordem, o mapa não move nada | move e diz que o ganho é zero | baixar o corte para o ganho zero contar",,quem olha o mapa vê o aparelho noutro lugar e não recebe instrução nenhuma — e a invariante do próprio motor existia para matar isso,,src/hefesto_dualsense4unix/integrations/arranjo_da_mesa.py (variantes e receita),,,o mapa passa a mostrar menos do que o motor calculou nas duas variantes,2026-08-25,decidida,"SE NÃO HÁ ORDEM, O MAPA NÃO MOVE NADA. Uma verdade só na tela: o desenho mostra o que a receita manda fazer.",2026-08-25,o furo mapa=receita achado pelo cético da leva de 25/08
D-A-FITA-E-O-UNICO-ALVO,A fita do topo é o único lugar onde se escolhe o alvo,"Silenciar o microfone no card do Controle 2 grava só nele, ou vale a fita?",deduzir a peça pelo card | a fita do topo manda em tudo,,,,src/hefesto_dualsense4unix/app/actions/status_actions.py | app/draft_config.py:1715-1766,,,,,decidida,"A FITA MANDA, E NÃO SE DUPLICA. Palavra dela: ""a parte da seleção no canto superior que escolho se é em todos ou no controle X. Não temos que duplicar isso em canto algum."" O card mostra o ESTADO da peça e nunca escolhe o alvo — quem escolhe é a fita, e ela já manda em lightbar, gatilhos e rumble. Deduzir a peça pelo card já tinha sido medido e recusado uma vez (draft_config.py:1715-1766); a decisão dela confirma. CONSEQUÊNCIA: `mic` precisa entrar em ControllerOverrides, senão a fita não tem onde gravar ""Controle 2 mudo"" — é a diferença entre as fotos 01 e 02 do desenho dela.",2026-08-26,"o desenho dela de 26/08, aba Status"
D-APLICA-A-VIRA-AMBIENTE,"""Aplica a"" vira ""Funciona em qual ambiente?"", e os gêneros viram Estilo de Jogo","""Remover o Modo avançado"" — o que acontece com os três campos técnicos?",mostrar sempre | apagar | só-leitura | redesenhar o seletor inteiro,,,,src/hefesto_dualsense4unix/gui/main.glade:2274-2637 | app/actions/profiles_actions.py,,,,,decidida,"ELA REDESENHOU EM VEZ DE ESCOLHER, e o desenho é melhor que as três opções. ""Aplica a:"" passa a se chamar ""Funciona em qual ambiente?"" com: Todos (o novo ""qualquer"") · Steam (independente do jogo aberto) · Navegador (lista os navegadores, como já se faz com jogos) · ESTILO DE JOGO (novo — os presets de gênero entram AQUI e deixam de ser perfil próprio) · Jogo (escolhe o jogo) · Jogo da Steam. ""Editor"" SAI. E aí o Modo avançado sai da interface inteiro. POR QUE RESOLVE: os seis perfis de gênero dela (Ação, Aventura, Corrida, Esportes, FPS, point_and_click) só existiam por causa dos três campos técnicos; virando Estilo de Jogo eles não ficam órfãos — mudam de lugar.",2026-08-26,"o desenho dela de 26/08, aba Perfis"
D-CADA-JOGADOR-NAVEGA-COM-O-SEU,"Cada jogador configura a interface com o próprio controle, e a borda diz de quem é","""e sempre ficará disponível"" — o que a borda do plástico garante?",borda sempre visível | chip sempre clicável | as duas,,,,src/hefesto_dualsense4unix/app/actions/config/secao_controles.py | integrations/cor_do_plastico.py,,,,,decidida,"AS DUAS, E O MOTIVO É MAIOR QUE A PERGUNTA. Palavra dela: ""as bordas de ambos os controles devem aparecer marcados na tela como se fossem personagem de jogo. to com o controle red e o irmão com o blue. Com o meu controle eu navego a interface e apertando x eu seto a informação no meu (borda red) e o meu irmão x seta a config dele no blue."" Ou seja: a interface é MULTI-JOGADOR — o controle que aperta é o que recebe o ajuste, e a borda colorida é como cada um se reconhece na tela. É a origem da dupla seleção quando há dois controles com ""Todos"" ativo.",2026-08-26,"o desenho dela de 26/08, aba Gatilhos"
D-CALIBRAR-SENSORES-NO-NATIVO,A calibração de sensores vai funcionar também no Modo Nativo,"No Modo Nativo o jogo fala direto com o aparelho; o botão Calibrar recusa, avisa o alcance, ou some?",recusa com motivo | calibra e avisa o alcance | some no Nativo | fazer funcionar,,,,não existe ainda — nenhum dos métodos do IPC toca sensor; o Profile não tem os campos,,,,,decidida,"FAZER FUNCIONAR, e a prova de que é possível é a Steam. Palavra dela: ""Vamos fazer esse modo funcionar assim também. escreve a spec e olha o csv de specs e marca lá também pra fazermos. Na steam isso existe então é possível o caminho."" Ela derrubou as três saídas oferecidas (recusar / avisar o alcance / sumir) apontando um fato: a Steam calibra no modo nativo, logo o caminho existe e é questão de achá-lo. TAREFA: investigar como a Steam faz, escrever a spec, e marcar a linha em docs/data/mapa-controles.csv.",2026-08-26,"o desenho dela de 26/08, aba Status"
D-AS-ABAS-CONVERSAM,Informação que se repete em abas diferentes tem de estar em sincronia,"Como garantir: dono único com portão, as abas se avisam, ou a repetição sai?",dono único + portão | as abas conversam entre si | a repetição sai das abas secundárias,,,,src/hefesto_dualsense4unix/app/actions/status_actions.py | app/actions/emulation_actions.py,,,,,decidida,"AS ABAS CONVERSAM ENTRE SI. Palavra dela: ""a aba status deveria funcionar em sincronia com a aba emulação assim como qualquer informação que se repete em abas diferentes."" Ela chamou a divergência de ""falha grotesca"". O PREÇO DO CAMINHO ESCOLHIDO FOI POSTO NA MESA e ela escolheu assim mesmo: continuam existindo duas cópias do fato, e elas podem divergir de novo no dia em que alguém acrescentar um escritor e esquecer de avisar. Quem executar deve deixar o aviso ligado por construção, não por disciplina.",2026-08-26,"o desenho dela de 26/08, aba Emulação"
D-O-PS-R3-CHEGA-A-TELA,O combo PS+R3 existe desde 19/08 e nunca apareceu na interface,O quadro de atalhos da Emulação lista três combos e esconde o quarto. O que fazer?,área que ensina com os quatro | levar para a Status | os dois,,,,src/hefesto_dualsense4unix/integrations/hotkey_daemon.py:142 (DEFAULT_COMBO_PONTE) | gui/main.glade:3264-3311,,,,,decidida,"DUAS FALHAS NOMEADAS POR ELA: (1) a Status e a Emulação não sincronizam; (2) o PS+R3 — que ELA pediu em 19/08 (""segurar o botão ps e o start faz ele pular de modo de sincronização"") e que foi implementado — nunca chegou à tela, só existe em comentário de código. O quadro passa a ser a ÁREA QUE ENSINA, com os QUATRO atalhos (PS+Options, PS+↑, PS+↓, PS+R3) desenhados em SVG e ACENDENDO quando o botão é apertado de verdade. O ""Buffer: 150"" vira tooltip em português (""apertar os dois em até 0,15 s conta como combo"") e o ""Passthrough em emulação"" SAI — é decisão travada de propósito, não ajuste.",2026-08-26,"o desenho dela de 26/08, aba Emulação"
D-A-ESCOLHA-DO-PLAYER-MORA-NA-LIGHTBAR,"A faixa que SURGE no cabeçalho sai, e a escolha do player vira seção fixa na Lightbar","""Editando:"" e ""Número deste controle"" descem para a Lightbar e somem do topo?",descem e somem do topo | descem e o topo vira só-leitura | ficam no topo e a Lightbar só obedece,,"Deixar no cabeçalho mantém o defeito que ela nomeou: a interface PULA. Cada vez que ela escolhe um controle, duas linhas brotam e empurram as abas e todo o conteúdo para baixo.",,"src/hefesto_dualsense4unix/app/actions/status_actions.py:1903-1937 (_montar_numero_selector — `set_no_show_all(True)` + `hide()`) | gui/main.glade:1398-1683 (a moldura ""Desenho das 5 luzes"", 285 linhas, que sai)",,,grande — a seção nasce na Lightbar e a faixa some do cabeçalho comum às onze abas,2026-08-26,decidida,"DESCEM PARA A LIGHTBAR E SOMEM DO TOPO, e o motivo dela é de LAYOUT, não de organização. Palavra dela: ""hoje ao clicar no controle conectado, tipo o player 1, ele sobe a área pra eu escolher qual o player daquele controle... a ideia é removermos essa seção que surge ali e trazermos essa escolha do player pra ocupar toda essa seção dentro de lightbar (desenho das cinco luzes) seção absolutamente inútil. vamos evitar o problema do layout que fica super feio ao se deslocar pra baixo."" MEDIDO E CONFIRMADO: a faixa nasce com `set_no_show_all(True)` + `hide()` e só aparece ""com um controle escolhido E dois ou mais na mesa"" — junto com o ""Editando: Controle N"". São DUAS linhas que brotam e empurram as abas para baixo; as fotos dela provam (na da Status, com ""Todos"", elas não existem; na da Lightbar, com ""Sony 1"", estão lá). A TROCA É DUPLA E FECHA SOZINHA: sai um painel de 285 linhas de glade que ela chamou de ""absolutamente inútil"" (o daemon já acende o padrão do número sozinho, e o co-op sobrescreve), e entra no lugar a escolha do player — que passa a ter espaço fixo, sem nada pular. O que fica no cabeçalho é só ""Ajustes vão para"", que é a fita, e a fita é o único lugar onde se escolhe o alvo (D-A-FITA-E-O-UNICO-ALVO).",2026-08-26,"o desenho dela de 26/08, abas Lightbar e Gatilhos, mais a explicação no chat"
D-A-BORDA-E-A-IDENTIDADE-DA-PECA,A borda tem a cor do plástico em TODO lugar que mostra um controle,"Onde a borda colorida aparece, e o que muda quando o controle está selecionado?",só nos chips | chips + cards | em todo lugar que mostra um controle,,,,src/hefesto_dualsense4unix/integrations/cor_do_plastico.py::tom_para_a_borda | app/actions/config/secao_controles.py:954 (hoje o ÚNICO chamador),,,,,decidida,"EM TODO LUGAR QUE MOSTRA UM CONTROLE — chips da fita, cards da Status, cards da Início, SVGs. Regra única. Palavra dela: ""a borda do controle sempre tem a cor do plástico. tipo o controle ao lado do todos é a borda sempre cor do plástico e quando selecionado o interior segue [a cor de seleção] mas a borda grossa é a cor do controle."" O QUE ISSO SEPARA, e é o valor da decisão: a BORDA diz QUAL peça é (identidade, invariante) e o INTERIOR diz se está selecionada (estado). Hoje as duas informações competem pelo mesmo espaço visual. A cor de seleção continua LILÁS — ela disse ""verde"" de memória e corrigiu: ""Deixa lilás. Confundi"". MEDIDO: `tom_para_a_borda` já existe e já resolve o caso difícil (Midnight Black, que pintado cru some no fundo escuro), e tem UM chamador só — a aba Configurações.",2026-08-26,o desenho dela de 26/08 e a explicação no chat
D-ESTILO-DE-JOGO-E-UM-PRESET-UNIVERSAL,"Estilo de Jogo pré-aplica um perfil inteiro, e mata a configuração aba a aba",O que o Estilo de Jogo faz com as abas quando escolhido?,preenche o perfil | o estilo manda para sempre | preenche e marca o que ela mudou,,,,src/hefesto_dualsense4unix/gui/main.glade:2274-2637 | assets/profiles_default/ | profiles/schema.py,,,,,decidida,"É UM PRESET UNIVERSAL, e o alvo é matar o regex. Palavra dela: ""pensando num user que tem lá um jogo tipo call of duty, ao invés dele configurar aba a aba cada feature do controle, esse jogo ou perfil já pré-aplica um default pra todas as abas. Aí o cara abre o jogo que ele só marcou lá da steam e joga com um perfil universal ao invés da lógica estranha do regex."" OS SEIS ESTILOS herdam os seis perfis de gênero dela (FPS, Corrida, Ação, Aventura, Esportes, Point-and-click) e cada um traz gatilho, lightbar, rumble, áudio, sensores e máscara já escolhidos — proposta de conteúdo aprovada no chat: FPS = metralhadora nos gatilhos, tons escuros um por controle, rumble máximo, mic ativo. E O CAMPO DO JOGO VEM JUNTO: ""no campo estilo de jogo tem que aparecer o campo pra selecionar o jogo, assim como temos pra steam, e temos que ter na aba jogo também"".",2026-08-26,"o desenho dela de 26/08, aba Perfis, refinado no chat"
D-NAVEGADOR-SAI-DO-SELETOR,"O ambiente ""Navegador"" sai — a aba Navegação já responde",O Navegador continua sendo um ambiente do seletor de perfil?,"fica | sai, ficam cinco ambientes | sai, e o preset Navegação também",,,,src/hefesto_dualsense4unix/gui/main.glade (o seletor) | assets/profiles_default/navegacao.json,,,,,decidida,"SAI. Palavra dela: ""não precisamos de um perfil pra navegação ali. Temos isso na guia status e temos o navegação (aqui se meu perfil atual mortal kombat tiver com controle e mouse ativado ele vai se comportar dessa forma ao usar o controle)."" O SELETOR FICA COM CINCO: Todos · Steam · Estilo de Jogo · Jogo · Jogo da Steam. Quem quer o controle como mouse liga isso na aba Navegação do perfil ativo — é ajuste do perfil, não um ambiente onde o perfil vale. ATENÇÃO PARA QUEM EXECUTAR: isto NÃO decide o destino do preset de fábrica `navegacao.json`, que tem decisão dela em contrário (D-PERFIL-NAVEGACAO, 25/08: ""MANTER E RENOMEAR""). São coisas diferentes: sai o AMBIENTE, não o perfil.",2026-08-26,"o desenho dela de 26/08, refinado no chat"
D-DUAS-PECAS-NUNCA-TEM-A-MESMA-COR,Dois DualSense conectados nunca ficam com a mesma cor,A regra de cor única vale só nos Estilos de Jogo ou o tempo todo?,"regra do produto sempre | só nos estilos | sempre, mas ela pode forçar",,,,src/hefesto_dualsense4unix/app/actions/lightbar_actions.py | profiles/schema.py::LedsConfig,,,,,decidida,"REGRA DO PRODUTO, SEMPRE — em qualquer perfil, não só nos Estilos de Jogo. É a irmã da regra ""nenhum perfil pode ter o mesmo número"": duas coisas que precisam ser distinguíveis não podem colidir. Se ela escolher a mesma cor para os dois, o segundo desloca para o tom vizinho e a tela diz o que fez. LIGA-SE À D-CADA-JOGADOR-NAVEGA-COM-O-SEU: a cor é como cada jogador se reconhece na tela ao mesmo tempo — duas peças da mesma cor quebram exatamente isso.",2026-08-26,o desenho dela de 26/08 e a proposta de conteúdo do estilo FPS
D-O-SVG-VIBRA-POR-LADO,"O SVG do DualSense divide-se em dois lados, e cada um acende quando o seu motor vibra",Com que cor o lado do SVG acende quando o motor vibra?,cor do plástico mais forte | cor fixa de vibrando | cor da lightbar,,,,"assets/control-svg/dualsense.svg (ids `feat-rumble-esquerdo` e `feat-rumble-direito`, já existem) | app/actions/rumble_actions.py",,,,,decidida,"A COR DO PLÁSTICO, E O DESENHO PARTE-SE AO MEIO. Palavra dela: ""Cor do plástico. divide o svgs do dualsense em dois lados esquerdo e direito. Parte esquerda vibra mostrando a cor do motor esquerdo."" MEDIDO: os dois ids já existem no SVG (`feat-rumble-esquerdo`, `feat-rumble-direito`), e o arquivo traz as cinco colorways por `data-colorway`. As duas metades da cura estão no repositório desde 11/08 e NENHUMA linha da janela abriu esse arquivo — os únicos sete usos estão em dois scripts que geram o `specs.html`.",2026-08-26,"o desenho dela de 26/08, aba Rumble"
D-AS-SPRINTS-VELHAS-SAO-DESATIVADAS-NAO-APAGADAS,"Sprint ultrapassada ganha o rótulo DESATIVADA, e o trabalho novo nasce materializado antes de executar",Como a leva nova convive com as sprints que ela substitui?,apagar as velhas | marcar como desativada | deixar como estão,,,,docs/process/sprints/ | docs/process/SPRINT_ORDER.md,,,,,decidida,"MARCAR COMO DESATIVADA, NUNCA APAGAR — e materializar as sprints novas ANTES de executar. Palavra dela: ""as Sprints de tudo tem que ser materializadas antes e as Sprints antigas ou ultrapassadas devem ser marcadas como Sprint desativada, ou algo assim."" É a regra da casa aplicada ao processo: não se apaga decisão medida — ela ganha uma nota datada com o que caducou. Uma sprint desativada continua legível e diz por que saiu, e qual item do desenho de 26/08 a substituiu.",2026-08-26,"a pergunta dela sobre a navegação por controle, no chat de 26/08"
D-A-EMULACAO-MORRE,A aba Emulação deixa de existir; o que ela tem se espalha para os donos certos,Ainda faz sentido a guia Emulação existir?,fica | morre e a Sistema absorve | funde com a Sistema,,,,src/hefesto_dualsense4unix/app/actions/emulation_actions.py | gui/main.glade (o bloco da aba),,,,,decidida,"MORRE, e a pergunta foi dela: ""ainda faz sentido a guia emulação existir?"" MEDIDO ITEM POR ITEM, e não sobra nada exclusivo: UINPUT/Device/VID:PID/Gamepads são diagnóstico e vão para a Sistema; ""Testar o controle virtual"" CRIA E DESTRÓI um gamepad virtual só para ver se dá (emulation_actions.py:1011) — é autoteste de instalação, vai para a Sistema; ""Atualizar"" relê estado, idem; ""Gamepad para os jogos"" é a MÁSCARA e já está na Início e nos Perfis; o quadro dos combos vira a ÁREA QUE ENSINA na Navegação; o Steam Input ela já mandou sair (D-VIGIA-DO-STEAM-INPUT); o microfone vai para a Status (volume) e para a Conexões (modo). A tira passa de ONZE para NOVE abas, contando a fusão da ""No jogo"" com a Status.",2026-08-26,"a pergunta dela no chat de 26/08, medida contra o disco"
D-A-NO-JOGO-FUNDE-COM-A-STATUS,"A aba ""No jogo"" funde com a Status, dentro do card de cada controle","A aba No jogo, 90% vazia, continua existindo?",funde com a Status | fica e ganha corpo | some e vira o SVG,,,,src/hefesto_dualsense4unix/app/actions/status_actions.py:548-869 (a No jogo não tem arquivo próprio) | app/widgets/controller_card.py,,,,,decidida,"FUNDE COM A STATUS, ACIMA DA ÁREA DO CONTROLE, E POR CONTROLE. Palavra dela: ""Nossa, esqueci por completo dessa aba aí. Acho que é melhor fundir com status ficando acima da área do controle e isso por controle"" — e ela mandou a foto mostrando o lugar: a linha ""Perfil ativo: Navegação"" no topo do card, com ""Hefesto: Ligado"" à direita. POR QUE FECHA: a ""No jogo"" diz o que o JOGO está recebendo de cada feature agora (giroscópio no jogo ~158 Hz, vibração no jogo, luz no jogo) e a Status diz o que o APARELHO é. São duas metades da mesma pergunta em abas diferentes — e a de cima estava ~90% vazia.",2026-08-26,"o inventário visual das onze abas, 26/08"
D-A-ABA-DO-AMBIENTE-CHAMA-SE-CONEXOES,"A aba Configurações vira Conexões, e é a aba do AMBIENTE",O que sobra na Configurações agora que a identidade do controle vai para a Status e a Lightbar?,vira a aba da mesa | continua com tudo e a Status só mostra | funde com a Sistema,,,,"src/hefesto_dualsense4unix/app/actions/config/ (secao_mesa, secao_controles, secao_exame, secao_orcamento, secao_janela)",,,,,decidida,"CONTINUA, VIRA ""CONEXÕES"", E GANHA UMA DEFINIÇÃO QUE ELA DEU E É MELHOR QUE AS TRÊS OFERECIDAS: ""a ideia dela é tanto ensinar como garantir que o user terá os mesmos ambientes de execução pro modo bt que eu tenho."" É A ABA DO AMBIENTE — ""prepare a sua máquina para funcionar como a minha funciona"": os adaptadores, as portas, a vizinhança do rádio, o exame, e o MODO DO MICROFONE (que ela primeiro pôs na Sistema e depois mudou para cá: ""Aqui poderia ir pra lá inclusive""). Ela ENSINA e CONSERTA. O nome ""Conexões"" já tinha sido escolhido antes para a seção da mesa; agora vale para a aba inteira.",2026-08-26,"o conflito 8, levantado e resolvido no chat de 26/08"
D-O-BOTAO-DO-MIC-MANDA-NA-LUZ,"O mudo do microfone manda na luz vermelha do plástico, e vira ícone no slicer","Tirando o ""Silenciar"", como se apaga a luz vermelha do microfone?",volume zero passa a apagar | ícone no slicer | o botão some e a luz fica acesa,,"Sem isso, o microfone cala pelo volume mas o plástico continua com a luz vermelha acesa, avisando que ele existe.",,src/hefesto_dualsense4unix/app/widgets/controller_card.py | cli/cmd_mic.py,,,,,decidida,"O BOTÃO MANDA NA LUZ, E VIRA UM ÍCONE NA PONTA DO SLICER. Palavra dela: ""O botão deveria mandar nesse caso. Acho que é se tá ativado ele fica aceso, apagado ele tá desligado, e mantém a sua ideia do ícone do slicer."" A DISTINÇÃO QUE JUSTIFICA, e ela é técnica: o mudo do DualSense é do FIRMWARE e apaga a luz vermelha do microfone no plástico; volume zero é do SISTEMA e não apaga luz nenhuma. Tirar o botão sem mais nada perderia a única forma de apagar aquela luz. O ícone ocupa quase nada e a tela encolhe do mesmo jeito.",2026-08-26,"o conflito 2, medido e resolvido no chat de 26/08"
D-APLICAR-NAO-SALVA,Aplicar vale agora e não grava; Salvar Perfil aplica e grava,"Aplicar e Salvar fazem o mesmo, ou coisas diferentes?",fazem o mesmo | aplicar não salva | aplicar e perguntar ao sair,,,,src/hefesto_dualsense4unix/app/actions/footer_actions.py | gui/main.glade (o rodapé),,,,,decidida,"APLICAR APLICA AGORA E NÃO SALVA NADA — ela reviu o que tinha escrito no desenho 04 (""ambos os botões fazem o mesmo"") e refinou no chat: ""Aplicar aplica naquele momento pra aquele perfil mas não salva nada. Eu no jogo aberto já noto isso. Aí Salvar Perfil aplica agora E salva."" É a rede de segurança de quem experimenta com o jogo aberto. O RODAPÉ FICA: [Aplicar] [Salvar Perfil] [Importar] [Exportar] — o ""Restaurar Default"" sai e vira EXPORTAR (mandar o perfil para fora, para alguém usar), e o restaurar de fábrica passa a morar na aba Sistema, que é onde gesto raro e perigoso deve ficar. E o SALVAR carrega a feature já existente: com jogo aberto que precise reiniciar a Steam, ele PERGUNTA antes de fechar e reabrir.",2026-08-26,"o conflito 4, levantado e resolvido no chat de 26/08"
D-O-ESTILO-APONTA-PARA-O-MODO,Point-and-click é um Estilo de Jogo configurável na aba Navegação,"Point-and-click é estilo de jogo, modo do PS+R3, ou os dois?",o estilo escolhe o modo | só modo | só estilo,,,,src/hefesto_dualsense4unix/app/actions/input_actions.py | integrations/hotkey_daemon.py:142 | assets/profiles_default/point_and_click.json,,,,,decidida,"É UM ESTILO DE JOGO, E ELE É CONFIGURÁVEL DENTRO DA ABA NAVEGAÇÃO. Palavra dela: ""É um estilo de jogo mas esse estilo em específico é configurável dentro da aba navegação. Eu seto lá como esse estilo deve funcionar. E no perfil eu posso pegar o jogo e aplicar esse estilo mas se durante um jogo eu usar o modo PS+R3 e chegar no mesmo modo de conexão é como se eu tivesse aplicado o estilo dentro daquele perfil ativado."" NÃO É DUPLICAÇÃO, SÃO CAMADAS: a Navegação DEFINE o que o estilo faz; o perfil ESCOLHE usá-lo; e o PS+R3 CHEGA nele ao vivo, com o mesmo efeito de tê-lo escolhido no perfil.",2026-08-26,"o conflito 5, levantado e resolvido no chat de 26/08"
D-A-AREA-QUE-ENSINA-VAI-PARA-A-NAVEGACAO,"A área que ensina os gestos mora na Navegação, e ali mesmo se configura o que cada um faz",Onde mora a área que ensina os quatro combos com SVG acendendo?,Navegação e configurável | Emulação só ensinando | nas duas,,,,src/hefesto_dualsense4unix/app/actions/input_actions.py | gui/main.glade:3264-3311 (o quadro que sai da Emulação),,,,,decidida,"NA NAVEGAÇÃO, E VIRA CONFIGURÁVEL — foi a última ideia dela e é a mais forte: ""talvez aquela seção que fica em emulação e serve também pra ensinar o user fosse mais jogo trazermos ela pra cá e permitir que o user escolha o que cada conjunto faz."" A MESMA TELA ENSINA O GESTO E DEIXA TROCAR O QUE ELE FAZ, com o SVG do botão acendendo quando ele é apertado de verdade. Aprender e configurar deixam de ser duas telas. E É ONDE O PS+R3 FINALMENTE APARECE (D-O-PS-R3-CHEGA-A-TELA).",2026-08-26,"o conflito 6, levantado e resolvido no chat de 26/08"
D-AS-DEZ-ABAS-E-SEUS-NOMES,"A tira tem dez abas, com nomes em português e ordem nova","Quantas abas, com que nomes e em que ordem?",,,,,,,,,2026-08-26,decidida,"JOGAR · CONTROLES · GATILHOS · ILUMINAÇÃO · VIBRAÇÃO · NAVEGAÇÃO · SISTEMA · CONEXÕES · PERFIS · LANÇADORES. As mudanças: ""Início""→Jogar, ""Status""→Controles (absorve a ""No jogo""), ""Lightbar""→Iluminação, ""Rumble""→Vibração, ""Configurações""→Conexões, ""Emulação""→LANÇADORES (com sentido novo: de onde os jogos vêm — Steam, Heroic, Epic, emulador, Flathub). As duas palavras em inglês saem da tira. RESSALVA DE QUEM COORDENA, registrada: Perfis em nono lugar contraria o que ela descobriu hoje — que o perfil é quem manda. Ela decide depois de ver o mockup.",2026-08-26,o desenho dela de 26/08 e o planejamento no chat
D-A-INTERFACE-E-UNIVERSAL-NAO-SO-STEAM,O produto funciona fora da Steam e a tela não conta isso,"Como o produto serve quem joga por Heroic, Epic, emulador ou Flathub?",,,,,,,,,2026-08-26,decidida,"AS DUAS SAÍDAS JUNTAS: ""Jogo"" vira o caminho PRINCIPAL do seletor (Steam vira atalho para quem tem), e nasce o botão ""DETECTAR O JOGO QUE ESTÁ ABERTO"" — você abre o jogo de onde for, volta e clica, e o perfil nasce. MEDIDO, e é o achado: o MOTOR já é universal (detecta por `process_name` e `window_class`, qualquer janela), mas a INTERFACE diz ""Steam"" 689 vezes (44 no glade, 645 nos handlers). Para quem instalou pelo Flathub e joga no Heroic, o produto PARECE ser só para Steam — e a pessoa nem tenta. Palavra dela: ""temos que pensar não em mim mas no usuário leigo médio.""",2026-08-26,o desenho dela de 26/08 e o planejamento no chat
D-A-ABA-LANCADORES,"A aba Emulação renasce como Lançadores, e passa a ser sobre de onde os jogos vêm","A aba Emulação morre de vez, ou renasce com outro sentido?",,,,,,,,,2026-08-26,decidida,"RENASCE COMO ""LANÇADORES"". A antiga era ""emulação de GAMEPAD"" (uinput) — termo técnico que ninguém entende, e cujo conteúdo se espalhou para os donos certos. A nova é sobre EMULADORES DE CONSOLE e LANÇADORES: RetroArch, Dolphin, mGBA, Heroic, Lutris, Epic, GOG, jogos em Flatpak. Ela detecta o que está instalado, diz se o controle chega lá, e conserta o que dá. MEDIDO: o produto tem ZERO menção a RetroArch, e o jogo Orpheus dela depende de um emulador nativo de GBC. Palavra dela: ""não ironicamente, talvez aí sim tenhamos uma utilidade pra aba emulador agora."" Ela pediu ajuda para desenhar o conteúdo: ""Nunca pensei nisso.""",2026-08-26,o desenho dela de 26/08 e o planejamento no chat
D-O-PERFIL-UNIVERSAL,Um perfil Universal substitui o fallback e o meu_perfil,O que acontece com os três perfis de fábrica que sobram quando os seis de gênero viram estilo?,,,,,,,,,2026-08-26,decidida,"NASCE O UNIVERSAL, e ele substitui `fallback` e `meu_perfil` de uma vez. Vale sempre que nenhum outro perfil casa, garantindo que o controle nunca fique sem nada. MAS NÃO É ""LIGA TUDO"" — palavra dela: ""não é que liga tudo; ok, caso ele não defina, sim. Mas caso ele queira ou tenha um modo favorito, isso fica de default."" Ou seja: o Universal respeita o modo favorito de quem usa, e só cai no tudo-ligado quando não há preferência declarada.",2026-08-26,o desenho dela de 26/08 e o planejamento no chat
D-CATORZE-ESTILOS-DE-FABRICA,"Catorze estilos de fábrica, mais o Personalizado",Quais estilos de jogo o produto embarca?,,,,,,,,,2026-08-26,decidida,"OS SEIS que herdam os perfis de gênero (FPS, Corrida, Ação, Aventura, Esportes, Point-and-click) MAIS OITO que ela aprovou: TERROR, LUTA, CO-OP NA MESA, MARATONA, PLATAFORMA, RETRÔ/EMULADOR, RITMO/MÚSICA, SIMULAÇÃO/VOO. Mais o ESTILO PERSONALIZADO, que aceita o que ela definir nas demais abas. Os de fábrica NÃO se editam. A SUGESTÃO SAIU DA BIBLIOTECA DELA, medida: dos 23 jogos com perfil no disco, DEZ são de terror (Dont Scream, Faith, Reanimal, Wendigo Blue, Mr Sleepy Man, Dark Scrolls, Mad King, Orpheus, Mina, Duskfade) — quase metade, e não havia preset. E LUTA é o jogo aberto agora (Mortal Kombat), também sem preset. O point-and-click é de fábrica, mas o funcionamento dos botões dele se define na aba Navegação.",2026-08-26,o desenho dela de 26/08 e o planejamento no chat
D-O-QUINTO-DEGRAU-DA-RODA,A roda do PS+R3 ganha o teclado+mouse como quinto degrau,Quais modos o PS+R3 alterna ao vivo?,,,,,,,,,2026-08-26,decidida,"A RODA JÁ EXISTE E TEM QUATRO DEGRAUS, medidos em `integrations/ponte_escada.py:253`: 1) Hefesto como DualSense · 2) Hefesto como Xbox 360 · 3) Conexão Nativa (Sony) · 4) DualSense + Steam Input. ENTRA O QUINTO, NO FIM: Teclado+Mouse (o `KIND_DESKTOP`, que já existe no código e ficou de fora da escada). É o último recurso — se nenhum modo de gamepad serviu, o jogo provavelmente só aceita teclado e mouse. A ordem existente não muda, e ela tem razão escrita: ""Dez linhas do mapa-controles.csv só chegam ao jogo por uhid... errar para Xbox custa as dez, e custa em silêncio.""",2026-08-26,o desenho dela de 26/08 e o planejamento no chat
D-A-MASCARA-GANHA-O-AUTOMATICO,"A máscara ganha uma terceira opção: Automático, e ela fica ligada",O produto lê o executável e sabe quais APIs de entrada o jogo usa. Isso chega à tela?,,,,,,,,,2026-08-26,decidida,"SIM, COMO TERCEIRA OPÇÃO QUE FICA LIGADA: [Xbox 360] [DualSense] [AUTOMÁTICO]. Escolhendo Automático, o produto decide a cada jogo que abrir, sempre — ela nunca mais pensa nisso. MEDIDO: `integrations/api_de_entrada.py` já diz quais APIs (SDL, XInput, DirectInput, RawInput, plugin DualShock) estão DENTRO do executável, e é consumido só por `prontuario_dos_jogos.py` — zero em `app/`. Hoje ela escolhe Xbox ou DualSense NO ESCURO.",2026-08-26,o desenho dela de 26/08 e o planejamento no chat
